"MAG","P","U","V","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.013351,0,0,1,0,0.5,0,0
0.037261,0.013272,-0.037259,0.00043565,1,0.0625,0.5,0.0625,0
0.06771,0.013045,-0.067703,0.00098165,1,0.125,0.5,0.125,0
0.095154,0.012315,-0.095133,0.0019677,1,0.1875,0.5,0.1875,0
0.12151,0.010699,-0.12143,0.0042396,1,0.25,0.5,0.25,0
0.14686,0.0076577,-0.14658,0.0090157,1,0.3125,0.5,0.3125,0
0.16944,0.0025574,-0.16852,0.01759,1,0.375,0.5,0.375,0
0.18574,-0.0051454,-0.18316,0.030852,1,0.4375,0.5,0.4375,0
0.19141,-0.015605,-0.18513,0.048631,1,0.5,0.5,0.5,0
0.18254,-0.028115,-0.16894,0.069058,1,0.5625,0.5,0.5625,0
0.15856,-0.040903,-0.13162,0.088225,1,0.625,0.5,0.625,0
0.12472,-0.051506,-0.07265,0.10091,1,0.6875,0.5,0.6875,0
0.10328,-0.05767,0.0085506,0.10182,1,0.75,0.5,0.75,0
0.14984,-0.05837,0.12092,0.087154,1,0.8125,0.5,0.8125,0
0.30076,-0.053933,0.29517,0.05666,1,0.875,0.5,0.875,0
0.58569,-0.046003,0.58534,0.019364,1,0.9375,0.5,0.9375,0
1,-0.039655,1,0,1,1,0.5,1,0
