"MAG","P","U","V","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.0018439,0,0,1,0,0,0.5,0
0.084482,-0.0038286,-0.0092942,0.083962,1,0.0625,0.0625,0.5,0
0.13551,-0.0055379,-0.030448,0.13202,1,0.125,0.125,0.5,0
0.16384,-0.0070571,-0.057056,0.15355,1,0.1875,0.1875,0.5,0
0.17837,-0.0088138,-0.085156,0.15668,1,0.25,0.25,0.5,0
0.18489,-0.010891,-0.11282,0.1464,1,0.3125,0.3125,0.5,0
0.18704,-0.013072,-0.13919,0.12484,1,0.375,0.375,0.5,0
0.18795,-0.014868,-0.16364,0.092326,1,0.4375,0.4375,0.5,0
0.19141,-0.015605,-0.18513,0.048631,1,0.5,0.5,0.5,0
0.20167,-0.014451,-0.20148,-0.0059009,1,0.5625,0.5625,0.5,0
0.22042,-0.010646,-0.20931,-0.06858,1,0.625,0.625,0.5,0
0.24374,-0.0040244,-0.20393,-0.13317,1,0.6875,0.6875,0.5,0
0.26017,0.0041544,-0.18029,-0.18737,1,0.75,0.75,0.5,0
0.25252,0.011193,-0.13615,-0.21255,1,0.8125,0.8125,0.5,0
0.20464,0.013948,-0.077743,-0.18923,1,0.875,0.875,0.5,0
0.11397,0.011071,-0.024006,-0.11139,1,0.9375,0.9375,0.5,0
0,0.0061027,0,0,1,1,1,0.5,0
